alter 	v. 改变，改动，变更
dispose 	vi. 除掉;处置;解决;处理(of)
consume 	v. 消耗，耗尽
spit 	v. 吐(唾液等);唾弃
slip 	v. 滑动，滑落;忽略
bacteria 	n. 细菌
budget 	n. 预算 v. 编预算，作安排
campus 	n. 校园
transform 	v. 转变，变革;变换
transplant 	v. 移植
shift 	v. 转移;转动;转变
vanish 	vi. 消灭，不见
suspicion 	n. 怀疑，疑心
mild 	a. 温暖的,暖和的;温柔的,味淡
nuisance 	n. 损害，妨害，讨厌(的人或
accelerate 	vt. 加速，促进
boundary 	n. 分界线，边界
catalog 	n. 目录(册) v. 编目
vain 	n. 徒劳，白费
extraordinary 	a. 不平常的,特别的,非凡的
agent 	n. 代理人,代理商;动因,原因
appeal 	n. /vi. 呼吁，恳求
approve 	v. 赞成，同意，批准
acquire 	vt. 取得，获得;学到
network 	n. 网状物;广播网,电视网;网络
burst 	vi. n. 突然发生，爆裂
blast 	n. 爆炸;气流 vi. 炸，炸掉
split 	v. 劈开;割裂;分裂 a. 裂开的
spill 	v. 溢出，溅出，倒出
slide 	v. 滑动,滑落 n.滑动;滑面;幻灯
breed 	n. 种，品种 v. 繁殖，产仔
candidate 	n. 候选人
liberal 	a. 慷慨的;丰富的;自由的
transmit 	v. 传播，播送;传递
transport 	vt. 运输，运送 n. 运输，运
vary 	v. 变化，改变;使多样化
swallow 	v. 吞下，咽下 n. 燕子
suspicious 	a. 怀疑的，可疑的
tender 	a. 温柔的;脆弱的
insignificant 	a. 无意义的，无足轻重的;
absolute 	a. 绝对的，无条件的;完全的
brake 	n. 刹车，制动器 v. 刹住(车)
vague 	a. 模糊的，不明确的
extinct 	a. 绝灭的，熄灭的
extreme 	a. 极度的，极端的 n. 极端，
alcohol 	n. 含酒精的饮料，酒精
appreciate 	vt. 重视，赏识，欣赏
stimulate 	vt. 刺激，激励
accomplish 	vt. 完成，到达;实行
tide 	n. 潮汐;潮流
